// HSK 2012-2018/Level 1
直接	zhi2jie1
值得	zhi2//de5
职业	zhi2ye4
植物	zhi2wu4
只好	zhi3hao3
只要	zhi3yao4
指	zhi3
至少	zhi4shao3
质量	zhi4liang4
重	zhong4
重点	zhong4dian3
重视	zhong4shi4
周围	zhou1wei2
主意	zhu3yi5
祝贺	zhu4he4
著名	zhu4ming2
专门	zhuan1men2
专业	zhuan1ye4
转	zhuan3
赚	zhuan4
准确	zhun3que4
准时	zhun3shi2
仔细	zi3xi4
自然	zi4ran2
自信	zi4xin4
总结	zong3jie2
租	zu1
最好	zui4hao3
尊重	zun1zhong4
左右	zuo3you4
作家	zuo4jia1
作用	zuo4yong4
作者	zuo4zhe3
座	zuo4
座位	zuo4wei4
// HSK 2012-2018/Level 5
哎	ai1
唉	ai4
爱护	ai4hu4
爱惜	ai4xi1
爱心	ai4xin1
安慰	an1wei4
安装	an1zhuang1
岸	an4
暗	an4
熬夜	ao2//ye4
把握	ba3wo4
摆	bai3
办理	ban4li3
傍晚	bang4wan3
包裹	bao1guo3
包含	bao1han2
包括	bao1kuo4
薄	bao2
宝贝	bao3bei4
宝贵	bao3gui4
保持	bao3chi2
保存	bao3cun2
保留	bao3liu2
保险	bao3xian3
报到	bao4//dao4
报道	bao4dao4
报告	bao4gao4
报社	bao4she4
抱怨	bao4yuan5
背	bei4
悲观	bei1guan1
背景	bei4jing3
被子	bei4zi5
本科	ben3ke1
本领	ben3ling3
本质	ben3zhi4
比例	bi3li4
彼此	bi3ci3
必然	bi4ran2
必要	bi4yao4
毕竟	bi4jing4
避免	bi4mian3
编辑	bian1ji2
鞭炮	bian1pao4
便	bian4
辩论	bian4lun4
标点	biao1dian3
标志	biao1zhi4
表达	biao3da2
表面	biao3mian4
表明	biao3ming2
表情	biao3qing2
表现	biao3xian4
冰激凌	bing1ji1ling2
病毒	bing4du2
玻璃	bo1li5
播放	bo1fang4
脖子	bo2zi5
博物馆	bo2wu4guan3
补充	bu3chong1
不安	bu4an1
不得了	bu4//de2liao3
不断	bu4duan4
不见得	bu4jian4de5
不耐烦	bu4 nai4fan2
不然	bu4ran2
不如	bu4ru2
不要紧	bu4//yao4jin3
不足	bu4zu2
布	bu4
步骤	bu4zhou4
部门	bu4men2
财产	cai2chan3
采访	cai3fang3
采取	cai3qu3
彩虹	cai3hong2
踩	cai3
参考	can1kao3
参与	can1yu4
惭愧	can2kui4
操场	cao1chang3
操心	cao1//xin1
册	ce4
测验	ce4yan4
曾经	ceng2jing1
叉子	cha1zi5
差距	cha1ju4
插	cha1
拆	chai1
产品	chan3pin3
产生	chan3sheng1
长途	chang2tu2
常识	chang2shi2
抄	chao1
超级	chao1ji2
朝	chao2
潮湿	chao2shi1
吵	chao3
吵架	chao3//jia4
炒	chao3
车库	che1ku4
车厢	che1xiang1
彻底	che4di3
沉默	chen2mo4
趁	chen4
称	cheng1
称呼	cheng1hu5
称赞	cheng1zan4
成分	cheng2fen5
成果	cheng2guo3
成就	cheng2jiu4
成立	cheng2li4
成人	cheng2ren2
成熟	cheng2shu2
成语	cheng2yu3
成长	cheng2zhang3
诚恳	cheng2ken3
承担	cheng2dan1
承认	cheng2ren4
承受	cheng2shou4
程度	cheng2du4
程序	cheng2xu4
吃亏	chi1//kui1
池塘	chi2tang2
迟早	chi2zao3
持续	chi2xu4
尺子	chi3zi5
翅膀	chi4bang3
冲	chong1
充电器	chong1dian4qi4
充分	chong1fen4
充满	chong1man3
重复	chong2fu4
宠物	chong3wu4
抽屉	chou1ti5
抽象	chou1xiang4
丑	chou3
臭	chou4
出版	chu1ban3
出口	chu1//kou3
出色	chu1se4
出示	chu1shi4
出席	chu1//xi2
初级	chu1ji2
除非	chu2fei1
除夕	chu2xi1
处理	chu3li3
传播	chuan2bo1
传染	chuan2ran3
传说	chuan2shuo1
传统	chuan2tong3
窗帘	chuang1lian2
闯	chuang3
创造	chuang4zao4
吹	chui1
词汇	ci2hui4
辞职	ci2//zhi2
此外	ci3wai4
次要	ci4yao4
刺激	ci4ji1
匆忙	cong1mang2
从此	cong2ci3
从而	cong2er2
从前	cong2qian2
从事	cong2shi4
粗糙	cu1cao1
促进	cu4jin4
促使	cu4shi3
醋	cu4
催	cui1
存在	cun2zai4
措施	cuo4shi1
答应	da1ying5
达到	da2//dao4
打工	da3//gong1
打交道	da3//jiao1dao5
打喷嚏	da3 pen1ti4
打听	da3ting5
大方	da4fang1
大厦	da4sha4
大象	da4xiang4
大型	da4xing2
呆	dai1
代表	dai4biao3
代替	dai4ti4
贷款	dai4kuan3
待遇	dai4yu4
